nl,t,yv,ya,m,ACT,CAP,inv_cost,sc
R12_CHN,coal_adv,2055,2055.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2055,2060.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2055,2070.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2055,2080.0,M1,0.0,0.0,694.2551951130628,sv_2c
R12_CHN,coal_adv,2060,2060.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2060,2070.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2060,2080.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2060,2090.0,M1,0.0,0.0,719.3783251919585,sv_2c
R12_CHN,coal_adv,2070,2070.0,M1,0.0,0.0,773.5903031724201,sv_2c
R12_CHN,coal_adv,2070,2080.0,M1,0.0,0.0,773.5903031724201,sv_2c
R12_CHN,coal_adv,2070,2090.0,M1,0.0,0.0,773.5903031724201,sv_2c
R12_CHN,coal_adv,2080,2080.0,M1,0.0,0.0,816.0634620154908,sv_2c
R12_CHN,coal_adv,2080,2090.0,M1,0.0,0.0,816.0634620154908,sv_2c
R12_CHN,coal_adv,2080,2100.0,M1,0.0,0.0,816.0634620154908,sv_2c
R12_CHN,coal_adv,2090,2090.0,M1,0.0,0.0,852.2597836036772,sv_2c
R12_CHN,coal_adv,2090,2100.0,M1,0.0,0.0,852.2597836036772,sv_2c
R12_CHN,coal_adv,2090,2110.0,M1,0.0,0.0,852.2597836036772,sv_2c
R12_CHN,coal_adv,2100,2100.0,M1,0.0,0.0,882.4858720651135,sv_2c
R12_CHN,coal_adv,2100,2110.0,M1,0.0,0.0,882.4858720651135,sv_2c
R12_CHN,coal_adv,2110,2110.0,M1,0.0,0.0,882.4858720651135,sv_2c
R12_CHN,coal_adv_ccs,2030,2030.0,M1,0.0,0.0,2691.2971365009917,sv_2c
