nl,t,yv,ya,m,ACT,sc
R12_AFR,coal_ppl,2080,2090,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2080,2100,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2090,2090,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2090,2100,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2090,2110,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2100,2100,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2100,2110,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2110,2110,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1960,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1965,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1970,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1975,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1980,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1985,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1990,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1965,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1970,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1975,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1980,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1985,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1990,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,1970,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,1975,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,1980,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,1985,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,1990,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2030,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,1975,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,1980,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,1985,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,1990,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2030,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,1980,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,1985,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,1990,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2030,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2035,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,1985,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,1990,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2030,M1,2.747261592591176,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2035,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,1990,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2030,M1,8.410725000000001,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2035,M1,5.856654092908364,sv_2c_buffer_decoal
