nl,t,yv,inv_cost,sc
R12_AFR,coal_ppl_u,1995,733.58,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,733.58,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,733.58,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,733.58,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2020,733.7777777777777,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2025,733.7777777777777,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2030,734.344360262327,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2035,736.0909793388364,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2040,738.1714073764299,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2045,740.6688429177021,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2050,743.6368364741741,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1960,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1965,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1970,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1975,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1980,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1985,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1990,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,1995,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2000,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2005,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2010,1376.57,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2025,1377.0,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2030,1335.0638721477123,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2035,1299.8483674901527,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2040,1270.2332367130211,sv_2c_buffer_decoal
