nl,t,yv,ya,CAP,sc
R12_AFR,coal_adv_ccs,2045,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2045,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2045,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2045,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2045,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2050,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2050,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2050,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2050,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2050,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2055,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2055,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2055,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2055,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2060,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2060,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2060,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2060,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2070,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2070,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2070,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2080,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2080,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2080,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2090,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2090,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2090,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2100,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2100,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_adv_ccs,2110,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,1995,1995,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2000,2000,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2005,2005,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2005,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2010,2010,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2010,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2010,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2015,2015,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2015,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2015,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2015,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2020,2020,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2020,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2020,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2020,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2020,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2025,2025,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2025,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2025,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2025,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2025,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2025,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2030,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2030,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2030,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2030,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2030,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2030,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2035,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2035,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2035,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2035,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2035,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2035,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2040,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2040,2045,0.0,sv_2c_buffer_decoal
