nl,t,ya,m,ACT,sc
R12_CHN,gas_cc,2000,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2005,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2010,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2015,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2020,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2025,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2030,M1,109.82065461733688,sv_2c_buffer_decoal
R12_CHN,gas_cc,2035,M1,162.57682722611258,sv_2c_buffer_decoal
R12_CHN,gas_cc,2040,M1,201.69535864688686,sv_2c_buffer_decoal
R12_CHN,gas_cc,2045,M1,153.38620364688686,sv_2c_buffer_decoal
R12_CHN,gas_cc,2050,M1,85.26198177761543,sv_2c_buffer_decoal
R12_CHN,gas_cc,2055,M1,109.90522660385611,sv_2c_buffer_decoal
R12_CHN,gas_cc,2060,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2070,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2080,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2090,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2100,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc,2110,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2030,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2035,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2040,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2045,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2050,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2055,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2060,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2070,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2080,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2090,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2100,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_cc_ccs,2110,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,1970,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,1975,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,1980,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,1985,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,1990,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,1995,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2000,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2005,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2010,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2015,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2020,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2025,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2030,M1,98.24381052268183,sv_2c_buffer_decoal
