node,technology,year_act,mode,time,type_addon,value,unit
R12_NAM,coal_adv,1970,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,1975,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,1980,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,1985,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,1990,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,1995,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2000,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2005,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2010,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2015,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2020,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2025,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2030,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2035,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2040,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2045,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2050,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2055,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2060,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2070,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2080,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2090,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2100,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_adv,2110,M2,year,coal_adv_cfNH3_addon,0,-
R12_NAM,coal_ppl,1960,M2,year,coal_ppl_cfNH3_addon,0,-
