node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_EEU,coal_adv,2035,2050,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2040,2050,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2045,2050,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2050,2050,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2040,2055,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2045,2055,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2050,2055,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2055,2055,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2040,2055,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2045,2055,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2050,2055,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2055,2055,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2015,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2020,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2025,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2015,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2020,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2025,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2030,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2020,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2025,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2020,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2025,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2035,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2025,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2040,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2025,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2040,2040,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2040,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2045,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2030,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2040,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2045,2045,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2040,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2045,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2050,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2035,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2040,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2045,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2050,2050,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2040,2055,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2045,2055,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2050,2055,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2055,2055,M2,year,0.0,USD/GWa
