node,commodity,level,year,time,value,unit
R12_FSU,NH3,final_material,2055,year,10.050654848102376,Mt
R12_LAM,NH3,final_material,2055,year,3.8993817548080023,Mt
R12_MEA,NH3,final_material,2055,year,4.0714819577150045,Mt
R12_NAM,NH3,final_material,2055,year,9.470230094071995,Mt
R12_PAO,NH3,final_material,2055,year,3.2370272059421024,Mt
R12_PAS,NH3,final_material,2055,year,3.8756751666816207,Mt
R12_RCPA,NH3,final_material,2055,year,4.611695673222862,Mt
R12_SAS,NH3,final_material,2055,year,13.223289975608836,Mt
R12_WEU,NH3,final_material,2055,year,7.703214084887312,Mt
R12_AFR,NH3,final_material,2060,year,5.670203187345656,Mt
R12_CHN,NH3,final_material,2060,year,30.607051977296297,Mt
R12_EEU,NH3,final_material,2060,year,6.1634095479929325,Mt
R12_FSU,NH3,final_material,2060,year,11.438234497958135,Mt
R12_LAM,NH3,final_material,2060,year,4.478930464156684,Mt
R12_MEA,NH3,final_material,2060,year,4.686814184109649,Mt
R12_NAM,NH3,final_material,2060,year,10.64684682892171,Mt
R12_PAO,NH3,final_material,2060,year,3.6287897690979523,Mt
R12_PAS,NH3,final_material,2060,year,4.395436662657146,Mt
R12_RCPA,NH3,final_material,2060,year,5.274600614022714,Mt
R12_SAS,NH3,final_material,2060,year,15.320092535566435,Mt
R12_WEU,NH3,final_material,2060,year,8.676374476744774,Mt
R12_AFR,NH3,final_material,2070,year,6.56128238369499,Mt
R12_CHN,NH3,final_material,2070,year,31.448125097374987,Mt
R12_EEU,NH3,final_material,2070,year,6.2725007503896695,Mt
R12_FSU,NH3,final_material,2070,year,12.122375703257749,Mt
R12_LAM,NH3,final_material,2070,year,4.814321334875375,Mt
R12_MEA,NH3,final_material,2070,year,5.06294573479734,Mt
R12_NAM,NH3,final_material,2070,year,11.001344036346417,Mt
R12_PAO,NH3,final_material,2070,year,3.720401963729514,Mt
R12_PAS,NH3,final_material,2070,year,4.605166144324759,Mt
R12_RCPA,NH3,final_material,2070,year,5.604340450265928,Mt
R12_SAS,NH3,final_material,2070,year,16.71046064822988,Mt
R12_WEU,NH3,final_material,2070,year,8.973814108792265,Mt
R12_AFR,NH3,final_material,2080,year,7.481353324259845,Mt
R12_CHN,NH3,final_material,2080,year,31.90338033377859,Mt
R12_EEU,NH3,final_material,2080,year,6.348301349382808,Mt
R12_FSU,NH3,final_material,2080,year,12.768093478693727,Mt
R12_LAM,NH3,final_material,2080,year,5.112966630515815,Mt
R12_MEA,NH3,final_material,2080,year,5.406142631667246,Mt
R12_NAM,NH3,final_material,2080,year,11.318424385063484,Mt
R12_PAO,NH3,final_material,2080,year,3.795175507160621,Mt
R12_PAS,NH3,final_material,2080,year,4.784677569703244,Mt
R12_RCPA,NH3,final_material,2080,year,5.867462548017467,Mt
R12_SAS,NH3,final_material,2080,year,17.93766401049937,Mt
R12_WEU,NH3,final_material,2080,year,9.213507836212036,Mt
R12_AFR,NH3,final_material,2090,year,8.405755437575676,Mt
R12_CHN,NH3,final_material,2090,year,32.15118435406517,Mt
R12_EEU,NH3,final_material,2090,year,6.410435474446605,Mt
R12_FSU,NH3,final_material,2090,year,13.409701156963061,Mt
R12_LAM,NH3,final_material,2090,year,5.372334266553639,Mt
R12_MEA,NH3,final_material,2090,year,5.728631038140352,Mt
R12_NAM,NH3,final_material,2090,year,11.600232863718743,Mt
R12_PAO,NH3,final_material,2090,year,3.8595382548149955,Mt
R12_PAS,NH3,final_material,2090,year,4.9373599007124005,Mt
R12_RCPA,NH3,final_material,2090,year,6.086887986615736,Mt
R12_SAS,NH3,final_material,2090,year,18.994092431074993,Mt
R12_WEU,NH3,final_material,2090,year,9.404243402949751,Mt
R12_AFR,NH3,final_material,2100,year,9.321790834839824,Mt
R12_CHN,NH3,final_material,2100,year,32.289684562756534,Mt
R12_EEU,NH3,final_material,2100,year,6.4737457242190235,Mt
R12_FSU,NH3,final_material,2100,year,14.055800682014153,Mt
R12_LAM,NH3,final_material,2100,year,5.600790822445636,Mt
R12_MEA,NH3,final_material,2100,year,6.039124272838314,Mt
R12_NAM,NH3,final_material,2100,year,11.852711902134434,Mt
R12_PAO,NH3,final_material,2100,year,3.908249589017567,Mt
R12_PAS,NH3,final_material,2100,year,5.0687524626082086,Mt
R12_RCPA,NH3,final_material,2100,year,6.290353243256694,Mt
R12_SAS,NH3,final_material,2100,year,19.92677982402719,Mt
R12_WEU,NH3,final_material,2100,year,9.552173010289975,Mt
R12_AFR,NH3,final_material,2110,year,10.349510704220481,Mt
R12_CHN,NH3,final_material,2110,year,32.42884673295414,Mt
R12_EEU,NH3,final_material,2110,year,6.539560366140647,Mt
R12_FSU,NH3,final_material,2110,year,14.737810609581443,Mt
R12_LAM,NH3,final_material,2110,year,5.842646264218365,Mt
R12_MEA,NH3,final_material,2110,year,6.378310665638794,Mt
R12_NAM,NH3,final_material,2110,year,12.11071147223548,Mt
R12_PAO,NH3,final_material,2110,year,3.959260509511831,Mt
R12_PAS,NH3,final_material,2110,year,5.211160212808128,Mt
R12_RCPA,NH3,final_material,2110,year,6.506791939256591,Mt
R12_SAS,NH3,final_material,2110,year,20.937029663306106,Mt
R12_WEU,NH3,final_material,2110,year,9.704290121027384,Mt
