node_loc,technology,year_vtg,year_act,mode,node_origin,commodity,level,time,time_origin,value,unit
R12_NAM,coal_adv,2050,2050,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2050,2055,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2050,2060,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2050,2070,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2050,2080,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2055,2055,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2055,2060,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2055,2070,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2055,2080,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2060,2060,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2060,2070,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2060,2080,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2060,2090,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2070,2070,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2070,2080,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2070,2090,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2080,2080,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2080,2090,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2080,2100,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2090,2090,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2090,2100,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2090,2110,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2100,2100,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2100,2110,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_NAM,coal_adv,2110,2110,M2,R12_NAM,coal,secondary,year,year,2.127659574,GWa
R12_PAO,coal_adv,2015,2015,M2,R12_PAO,coal,secondary,year,year,2.127659574,GWa
R12_PAO,coal_adv,2015,2020,M2,R12_PAO,coal,secondary,year,year,2.127659574,GWa
R12_PAO,coal_adv,2015,2025,M2,R12_PAO,coal,secondary,year,year,2.127659574,GWa
R12_PAO,coal_adv,2015,2030,M2,R12_PAO,coal,secondary,year,year,2.127659574,GWa
R12_PAO,coal_adv,2015,2035,M2,R12_PAO,coal,secondary,year,year,2.127659574,GWa
