node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,value,unit
R12_LAM,coal_adv_rccs,2080,2080,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2080,2090,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2080,2100,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2090,2090,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2090,2100,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2090,2110,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2100,2100,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2100,2110,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_LAM,coal_adv_rccs,2110,2110,M4,R12_LAM,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2010,2010,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2010,2015,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2010,2020,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2010,2025,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2010,2030,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2010,2035,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2015,2015,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2015,2020,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2015,2025,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2015,2030,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2015,2035,M4,R12_MEA,electr,secondary,year,year,1,GWa
