node,technology,year_vtg,year_act,mode,time,type_addon,value,unit
R12_SAS,coal_adv,2015,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2015,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2015,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2015,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2015,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2015,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2015,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2020,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2025,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2030,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2035,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2040,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2045,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2050,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2020,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2025,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2030,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2035,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2040,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2045,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2050,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2025,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2030,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2035,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2040,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2045,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2050,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2030,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2035,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2040,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2045,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2050,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2035,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2040,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2045,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2050,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2070,M4,year,coal_adv_rccs_addon,1,-
